ID_Bien,ID_Adresse,Type local,Nombre pieces principales,Surface Carrez
520,520,Appartement,2,36.08
521,521,Appartement,4,115.26
522,522,Appartement,1,27
523,523,Appartement,1,17.94
524,524,Appartement,4,69.46
525,525,Appartement,2,47.9
526,526,Appartement,2,34.48
527,527,Appartement,2,21.51
528,528,Appartement,3,58.87
529,529,Appartement,2,53.6
530,530,Appartement,3,74.57
531,531,Appartement,2,35.6
532,532,Appartement,2,28.52
533,533,Appartement,2,40.43
534,534,Appartement,1,21.55
535,535,Appartement,2,23.57
536,536,Appartement,5,85.93
537,537,Appartement,1,27.76
538,538,Appartement,1,32.69
539,539,Appartement,1,22.13
540,540,Appartement,1,15.86
541,541,Appartement,1,16.98
542,542,Appartement,1,22.71
543,543,Appartement,2,42.47
544,544,Appartement,2,30.62
545,545,Appartement,2,22.8
546,546,Appartement,1,20.37
547,547,Appartement,2,44.09
548,548,Appartement,1,25.35
549,549,Appartement,1,32
550,550,Appartement,0,18
551,551,Appartement,1,27.3
552,552,Appartement,2,32.2
553,553,Appartement,2,42
554,554,Appartement,1,23.53
555,555,Appartement,1,17.1
556,556,Appartement,1,20.45
557,557,Appartement,3,64.3
558,558,Appartement,5,103.79
559,559,Appartement,3,57
560,560,Appartement,4,73.65
561,561,Appartement,2,36.23
562,562,Appartement,4,69.81
563,563,Appartement,4,66.81
564,564,Appartement,2,48.14
565,565,Appartement,2,35.55
566,566,Appartement,3,65.4
567,567,Appartement,3,65.63
568,568,Appartement,3,63.54
569,569,Appartement,3,58.22
570,570,Appartement,1,24.04
571,571,Appartement,3,58.27
572,572,Appartement,4,67.2
573,573,Appartement,3,52.66
574,574,Appartement,3,140
575,575,Appartement,2,51.26
576,576,Appartement,1,34.9
577,577,Appartement,3,67.77
578,578,Appartement,3,56.15
579,579,Appartement,2,22.47
580,580,Appartement,3,74.15
581,581,Appartement,1,19.5
582,582,Appartement,3,59.05
583,583,Appartement,1,35.27
584,584,Appartement,2,38.12
585,585,Appartement,4,82.6
586,586,Appartement,2,36.69
587,587,Appartement,1,23.62
588,588,Appartement,2,37.23
589,589,Appartement,3,64.3
590,590,Maison,2,42
591,591,Appartement,1,66.12
592,592,Appartement,5,76.15
593,593,Appartement,1,51.43
594,594,Appartement,3,78.83
595,595,Maison,5,104.56
596,596,Appartement,3,77.18
597,597,Appartement,3,55.7
598,598,Appartement,3,72
599,599,Appartement,3,53.66
600,600,Appartement,4,92.5
601,601,Appartement,4,73.78
602,602,Appartement,3,61.06
603,603,Appartement,2,46.65
604,604,Appartement,3,60.22
605,605,Appartement,2,42.06
606,606,Appartement,4,79.74
607,607,Appartement,3,73.12
608,608,Appartement,2,53.05
609,609,Appartement,2,46.66
610,610,Appartement,3,53.1
611,611,Appartement,2,84.28
612,612,Appartement,2,46.6
613,613,Appartement,3,41.64
614,614,Appartement,2,51.43
615,615,Appartement,2,42.3
616,616,Appartement,6,102.76
617,617,Appartement,3,86.8
618,618,Maison,4,86.01
619,619,Appartement,3,68.81
620,620,Appartement,2,35.76
621,621,Appartement,4,108.65
622,622,Appartement,2,33.66
623,623,Appartement,4,71.59
624,624,Appartement,2,42.84
625,625,Appartement,3,59.74
626,626,Appartement,2,33.58
627,627,Appartement,3,59.74
628,628,Appartement,4,69.11
629,629,Appartement,4,88.35
630,630,Appartement,2,50.43
631,631,Appartement,1,29.02
632,632,Appartement,2,52.58
633,633,Appartement,2,46.28
634,634,Appartement,4,71.74
635,635,Appartement,3,74.5
636,636,Appartement,4,81.5
637,637,Appartement,1,40.8
638,638,Appartement,1,31.65
639,639,Appartement,2,36.15
640,640,Appartement,2,30.81
641,641,Maison,6,156.5
642,642,Appartement,3,67
643,643,Appartement,4,103.14
644,644,Appartement,3,87.49
645,645,Appartement,3,68.06
646,646,Appartement,2,47.42
647,647,Appartement,3,59.72
648,648,Appartement,4,121.99
649,649,Appartement,2,39.86
650,650,Appartement,2,97.04
651,651,Appartement,3,52.05
652,652,Appartement,3,62.72
653,653,Appartement,3,61.23
654,654,Appartement,3,55.23
655,655,Appartement,2,67.99
656,656,Appartement,5,133.89
657,657,Appartement,4,132.05
658,658,Appartement,3,143.12
659,659,Appartement,3,50.04
660,660,Appartement,4,85.61
661,661,Appartement,4,63.8
662,662,Appartement,1,30.84
663,663,Appartement,2,41.07
664,664,Appartement,1,16.58
665,665,Appartement,1,22.98
666,666,Appartement,2,33.08
667,667,Appartement,2,36.13
668,668,Appartement,2,29.94
669,669,Appartement,1,25.53
670,670,Appartement,1,18.84
671,671,Appartement,2,32.34
672,672,Appartement,1,11.6
673,673,Appartement,1,26.38
674,674,Appartement,1,23.84
675,675,Appartement,2,35.63
676,676,Appartement,1,29.94
677,677,Appartement,2,50
678,678,Appartement,3,65.48
679,679,Appartement,1,28.65
680,680,Appartement,2,29.86
681,681,Appartement,2,29.56
682,682,Appartement,1,20.2
683,683,Appartement,3,53.11
684,684,Maison,2,24.61
685,685,Appartement,1,22.3
686,686,Appartement,1,27.65
687,687,Appartement,3,61.47
688,688,Appartement,3,57.03
689,689,Appartement,1,24.55
690,690,Appartement,1,22.23
691,691,Appartement,2,38.54
692,692,Appartement,3,45.23
693,693,Appartement,2,44.51
694,694,Appartement,2,38.35
695,695,Appartement,4,68.77
696,696,Appartement,1,24.38
697,697,Appartement,2,37.12
698,698,Appartement,3,36.96
699,699,Appartement,2,39.99
700,700,Appartement,1,26.71
701,701,Appartement,1,25.7
702,702,Appartement,1,29.07
703,703,Appartement,3,32.53
704,704,Appartement,4,70.21
705,705,Appartement,2,22.05
706,706,Appartement,2,45.71
707,707,Appartement,4,111.96
708,708,Appartement,2,45.83
709,709,Appartement,4,94
710,710,Appartement,4,60.09
711,711,Appartement,5,84.69
712,712,Appartement,2,54.36
713,713,Appartement,4,91.15
714,714,Appartement,1,27.7
715,715,Appartement,1,20.8
716,716,Appartement,1,24.8
717,717,Appartement,1,34.34
718,718,Appartement,2,47.67
719,719,Appartement,2,42.66
720,720,Appartement,3,66.25
721,721,Appartement,2,32.71
722,722,Appartement,2,26.4
723,723,Appartement,2,43.46
724,724,Appartement,1,18.52
725,725,Maison,3,29.6
726,726,Appartement,2,35.62
727,727,Appartement,2,39.56
728,728,Appartement,2,47.34
729,729,Appartement,1,34.16
730,730,Appartement,4,47.6
731,731,Appartement,2,36.9
732,732,Appartement,3,76.09
733,733,Appartement,3,58.5
734,734,Maison,2,45.95
735,735,Appartement,2,57.07
736,736,Appartement,2,42.36
737,737,Appartement,3,35.76
738,738,Appartement,3,62.84
739,739,Appartement,4,65.72
740,740,Appartement,3,60.65
741,741,Appartement,2,43.69
742,742,Appartement,3,66.23
743,743,Appartement,2,28.34
744,744,Maison,3,73.01
745,745,Appartement,1,21.37
746,746,Appartement,2,22.9
747,747,Appartement,2,32.43
748,748,Appartement,3,83.05
749,749,Appartement,3,53.4
750,750,Appartement,3,62.91
751,751,Appartement,1,31.12
752,752,Appartement,4,76.99
753,753,Appartement,3,51.17
754,754,Appartement,3,67.24
755,755,Appartement,4,63.08
756,756,Appartement,2,41.1
757,757,Appartement,3,69.08
758,758,Appartement,2,125.85
759,759,Appartement,2,42
760,760,Appartement,2,47.32
761,761,Appartement,2,58.71
762,762,Appartement,1,20.44
763,763,Appartement,3,63.15
764,764,Appartement,3,62.23
765,765,Appartement,3,50.23
766,766,Maison,2,60.09
767,767,Appartement,2,21.27
768,768,Appartement,2,46.1
769,769,Appartement,3,68.45
770,770,Appartement,3,66.02
771,771,Appartement,3,68.06
772,772,Appartement,2,38.53
773,773,Appartement,3,62.98
774,774,Appartement,1,28.86
775,775,Appartement,3,47.5
776,776,Appartement,3,68.89
777,777,Appartement,1,15.88
778,778,Appartement,2,59.53
779,779,Maison,3,66.02
780,780,Appartement,2,63.12
781,781,Appartement,3,69.32
782,782,Appartement,5,92.54
783,783,Appartement,1,27.5
784,784,Appartement,2,18.96
785,785,Appartement,4,16.24
786,786,Appartement,3,76.16
787,787,Appartement,2,50.32
788,788,Maison,4,103.36
789,789,Appartement,5,100.55
790,790,Appartement,1,37.71
791,791,Maison,4,77.06
792,792,Appartement,1,22.21
793,793,Maison,5,84.85
794,794,Appartement,3,59.34
795,795,Appartement,2,37.78
796,796,Appartement,1,50.86
797,797,Appartement,2,43.01
798,798,Appartement,4,75.76
799,799,Appartement,3,52
800,800,Appartement,3,65.28
801,801,Appartement,4,59
802,802,Maison,5,103.19
803,803,Appartement,1,25.11
804,804,Appartement,2,32.05
805,805,Appartement,4,83.63
806,806,Appartement,2,50.33
807,807,Appartement,4,88.21
808,808,Maison,4,116.72
809,809,Maison,4,88.05
810,810,Maison,4,70.09
811,811,Appartement,4,90.45
812,812,Appartement,5,93.89
813,813,Appartement,2,43.28
814,814,Appartement,2,23.1
815,815,Appartement,2,30.9
816,816,Appartement,2,29.68
817,817,Appartement,3,69
818,818,Appartement,3,58.21
819,819,Maison,0,29.67
820,820,Appartement,3,59.44
821,821,Appartement,5,80.36
822,822,Appartement,1,22.61
823,823,Maison,4,72.8
824,824,Appartement,3,41.66
825,825,Appartement,3,42.01
826,826,Appartement,3,63.03
827,827,Appartement,3,72.63
828,828,Appartement,3,45.88
829,829,Appartement,3,66.48
830,830,Appartement,1,52.8
831,831,Maison,6,130.72
832,832,Appartement,2,66.73
833,833,Appartement,2,41
834,834,Appartement,3,43.7
835,835,Appartement,1,34.1
836,836,Appartement,5,94.08
837,837,Appartement,3,70.09
838,838,Appartement,3,58.03
839,839,Appartement,3,51.43
840,840,Appartement,5,103.92
841,841,Appartement,3,63.9
842,842,Appartement,2,47.26
843,843,Appartement,3,73.67
844,844,Appartement,4,87.16
845,845,Appartement,3,60.96
846,846,Maison,4,100.3
847,847,Appartement,3,43.16
848,848,Appartement,1,39.18
849,849,Appartement,3,61.82
850,850,Appartement,4,49.84
851,851,Appartement,4,83.21
852,852,Appartement,4,78.35
853,853,Appartement,1,43.71
854,854,Appartement,2,66.21
855,855,Appartement,6,130.8
856,856,Appartement,2,59.47
857,857,Appartement,5,119.31
858,858,Appartement,3,63.45
859,859,Maison,5,122.88
860,860,Appartement,4,69.34
861,861,Appartement,3,52.84
862,862,Appartement,4,62.24
863,863,Appartement,1,113.66
864,864,Appartement,5,109.17
865,865,Appartement,4,100.96
866,866,Appartement,4,102.14
867,867,Appartement,4,82.7
868,868,Appartement,2,84.8
869,869,Appartement,3,81.15
870,870,Appartement,3,78.74
871,871,Appartement,5,117.1
872,872,Appartement,2,35.68
873,873,Appartement,2,32.19
874,874,Appartement,1,31.95
875,875,Appartement,2,19
876,876,Appartement,3,57.69
877,877,Appartement,3,69
878,878,Appartement,2,24.56
879,879,Appartement,1,15.8
880,880,Appartement,2,55.53
881,881,Appartement,1,26.48
882,882,Maison,6,65.47
883,883,Appartement,1,37.43
884,884,Maison,2,56.23
885,885,Appartement,1,23.07
886,886,Appartement,1,20.4
887,887,Appartement,2,34.35
888,888,Appartement,2,36.2
889,889,Appartement,3,67.54
890,890,Appartement,1,7.93
891,891,Appartement,1,19.13
892,892,Appartement,1,21.12
893,893,Appartement,1,21.64
894,894,Appartement,1,14.4
895,895,Appartement,1,21.11
896,896,Appartement,2,28.44
897,897,Appartement,1,20.69
898,898,Appartement,1,33.12
899,899,Appartement,5,89.67
900,900,Appartement,2,45.59
901,901,Appartement,1,18.38
902,902,Appartement,1,28.47
903,903,Appartement,4,59.04
904,904,Appartement,1,26.54
905,905,Appartement,1,17.15
906,906,Appartement,1,27.15
907,907,Appartement,2,32.77
908,908,Appartement,4,66.85
909,909,Appartement,2,53.66
910,910,Appartement,4,84.09
911,911,Appartement,1,25.53
912,912,Appartement,1,9.19
913,913,Appartement,4,76.95
914,914,Appartement,4,67
915,915,Appartement,2,24.85
916,916,Appartement,2,55
917,917,Appartement,1,22.23
918,918,Appartement,2,42.56
919,919,Appartement,2,31.48
920,920,Appartement,2,41.61
921,921,Appartement,1,34.41
922,922,Appartement,3,63.1
923,923,Appartement,3,72.87
924,924,Appartement,1,31.37
925,925,Appartement,2,27.5
926,926,Appartement,3,47.44
927,927,Appartement,4,84.77
928,928,Appartement,1,30.66
929,929,Appartement,2,49.13
930,930,Appartement,1,41.77
931,931,Appartement,1,34.94
932,932,Appartement,1,29.38
933,933,Appartement,2,33.73
934,934,Appartement,3,68.01
935,935,Appartement,1,13.69
936,936,Appartement,1,26.56
