ID,Code departement,Commune
4223,74,PASSY
4224,69,VILLEURBANNE
4225,94,JOINVILLE-LE-PONT
4226,95,COURDIMANCHE
4227,54,MEREVILLE
4228,94,SAINT-MAUR-DES-FOSSES
4229,26,BOURG LES VALENCE
4230,94,SAINT-MAUR-DES-FOSSES
4231,13,MARSEILLE 12EME
4232,44,MESQUER
4233,78,CLAYES-SOUS-BOIS (LES)
4234,69,TALUYERS
4235,44,ST-HERBLAIN
4236,74,VEYRIER-DU-LAC
4237,95,ST GRATIEN
4238,13,MARSEILLE 5EME
4239,38,LES DEUX ALPES
4240,38,GRENOBLE
4241,91,LONGPONT-SUR-ORGE
4242,75,PARIS 13
4243,40,CAPBRETON
4244,94,ALFORTVILLE
4245,44,NANTES
4246,33,BORDEAUX
4247,60,ORRY LA VILLE
4248,44,ST-HERBLAIN
4249,92,VILLENEUVE-LA-GARENNE
4250,92,VAUCRESSON
4251,33,MERIGNAC
4252,2A,AJACCIO
4253,93,ROSNY-SOUS-BOIS
4254,35,SAINT-MALO
4255,78,CHEVREUSE
4256,56,AURAY
4257,33,PESSAC
4258,94,VILLENEUVE-SAINT-GEORGES
4259,33,BEGLES
4260,44,ST-HERBLAIN
4261,6,LE CANNET
4262,78,CHATOU
4263,88,EPINAL
4264,2A,AJACCIO
4265,34,POUSSAN
4266,92,CLICHY
4267,91,LISSES
4268,6,NICE
4269,78,PECQ (LE)
4270,64,HENDAYE
4271,84,PERNES LES FONTAINES
4272,91,ATHIS MONS
4273,77,LESIGNY
4274,95,ERAGNY-SUR-OISE
4275,83,BANDOL
4276,91,PALAISEAU
4277,75,PARIS 19
4278,75,PARIS 05
4279,78,BOUGIVAL
4280,45,ORLEANS
4281,93,PANTIN
4282,33,BEGLES
4283,85,SABLES-D'OLONNE (LES)
4284,14,TOURGEVILLE
4285,6,CONTES
4286,2A,PIETROSELLA
4287,95,SOISY SS MONTMORENCY
4288,6,NICE
4289,69,LYON 5EME
4290,60,NOAILLES
4291,77,TORCY
4292,31,CASTANET TOLOSAN
4293,30,GARONS
4294,92,RUEIL-MALMAISON
4295,13,MARSEILLE 7EME
4296,92,BOULOGNE-BILLANCOURT
4297,95,SAINT-PRIX
4298,93,GOURNAY SUR MARNE
4299,34,MONTPELLIER
4300,92,RUEIL-MALMAISON
4301,75,PARIS 18
4302,33,TALENCE
4303,11,GRUISSAN
4304,77,SERRIS
4305,78,GUYANCOURT
4306,14,TROUVILLE-SUR-MER
4307,75,PARIS 20
4308,91,ORSAY
4309,92,COLOMBES
4310,75,PARIS 12
4311,94,GENTILLY
4312,95,PARMAIN
4313,92,LA GARENNE-COLOMBES
4314,38,SAINT-NAZAIRE-LES-EYMES
4315,6,PEGOMAS
4316,13,MARSEILLE 8EME
4317,77,DAMMARIE LES LYS
4318,94,LE KREMLIN-BICETRE
4319,93,SAINT-DENIS
4320,94,FONTENAY-SOUS-BOIS
4321,87,LIMOGES
4322,93,LE PRE-SAINT-GERVAIS
4323,14,BENERVILLE-SUR-MER
4324,78,CARRIERES SOUS POISSY
4325,92,CLAMART
4326,2A,PROPRIANO
4327,80,SAINT-FUSCIEN
4328,75,PARIS 04
4329,78,VESINET (LE)
4330,13,LA CIOTAT
4331,77,CHANTELOUP EN BRIE
4332,83,CARQUEIRANNE
4333,95,ARGENTEUIL
4334,6,CAGNES SUR MER
4335,31,TOULOUSE
4336,94,ALFORTVILLE
4337,38,GRENOBLE
4338,83,SANARY SUR MER
4339,91,VERT LE PETIT
4340,6,SAINT LAURENT DU VAR
4341,74,NEYDENS
4342,95,MENUCOURT
4343,2A,AJACCIO
4344,75,PARIS 05
4345,92,CHAVILLE
4346,92,CHATENAY-MALABRY
4347,95,MAFFLIERS
4348,95,ERMONT
4349,78,VERSAILLES
4350,92,NANTERRE
4351,6,ANTIBES
4352,92,ISSY-LES-MOULINEAUX
4353,77,SAINT-FARGEAU-PONTHIERRY
4354,75,PARIS 18
4355,94,LE PLESSIS-TREVISE
4356,74,ANNECY
4357,77,CHATELET-EN-BRIE (LE)
4358,92,LE PLESSIS-ROBINSON
4359,44,ST-HERBLAIN
4360,69,FONTAINES SUR SAONE
4361,75,PARIS 14
4362,69,MARCY-L ETOILE
4363,94,CHARENTON-LE-PONT
4364,75,PARIS 16
4365,92,VANVES
4366,69,LYON 4EME
4367,78,CERNAY-LA-VILLE
4368,6,LE CANNET
4369,22,PLENEUF-VAL-ANDRE
4370,93,SAINT-OUEN-SUR-SEINE
4371,6,MENTON
4372,85,SABLES-D'OLONNE (LES)
4373,75,PARIS 11
4374,75,PARIS 18
4375,92,SURESNES
4376,44,LA BAULE-ESCOUBLAC
4377,78,RAMBOUILLET
4378,75,PARIS 10
4379,75,PARIS 13
4380,93,MONTREUIL
4381,75,PARIS 17
4382,75,PARIS 19
4383,1,FERNEY-VOLTAIRE
4384,92,RUEIL-MALMAISON
4385,91,VARENNES-JARCY
4386,75,PARIS 14
4387,75,PARIS 03
4388,92,COLOMBES
4389,33,BORDEAUX
4390,34,AGDE
4391,92,LA GARENNE-COLOMBES
4392,78,VERSAILLES
4393,75,PARIS 13
4394,92,LEVALLOIS-PERRET
4395,75,PARIS 02
4396,75,PARIS 07
4397,34,SETE
4398,75,PARIS 10
4399,94,CACHAN
4400,92,BOURG-LA-REINE
4401,75,PARIS 12
4402,13,MARSEILLE 8EME
4403,78,LE CHESNAY-ROCQUENCOURT
4404,75,PARIS 20
4405,75,PARIS 07
4406,92,PUTEAUX
4407,94,SAINT-MAUR-DES-FOSSES
4408,13,MARSEILLE 6EME
4409,13,MARSEILLE 2EME
4410,31,TOULOUSE
4411,75,PARIS 03
4412,75,PARIS 20
4413,94,VILLEJUIF
4414,92,ASNIERES-SUR-SEINE
4415,92,ASNIERES-SUR-SEINE
4416,75,PARIS 06
4417,75,PARIS 20
4418,75,PARIS 17
4419,92,LA GARENNE-COLOMBES
4420,75,PARIS 14
4421,78,PECQ (LE)
4422,92,NEUILLY-SUR-SEINE
4423,75,PARIS 16
4424,75,PARIS 04
4425,75,PARIS 16
4426,75,PARIS 15
4427,75,PARIS 16
4428,75,PARIS 19
4429,75,PARIS 09
4430,75,PARIS 04
4431,75,PARIS 16
4432,75,PARIS 09
4433,6,NICE
4434,75,PARIS 05
4435,75,PARIS 16
4436,75,PARIS 07
4437,70,NOIDANS-LES-VESOUL
4438,28,NOGENT LE ROTROU
4439,6,VILLARS-SUR-VAR
4440,77,MOUSSEAUX-LES-BRAY
